"";"...1";"variable";"description"
"1071";"#";"s479g";"Reasons not seeking treatment: embarrassed"
"1072";"#";"s479h";"NA - Reasons not seeking treatment: problem has disappeared"
"1073";"#";"s479x";"Reasons not seeking treatment: other"
"1074";"#";"s480";"From whom have you sought a treatment ?"
"1075";"#";"s481";"Had a surgery ?"
"1076";"#";"s482";"Treatment stopped / reduce losses?"
"1077";"#";"s655";"Heard or seen any messages on malaria during the last 6 months"
"1078";"#";"s656a";"Source of information: radio"
"1079";"#";"s656b";"Source of information: television"
"1080";"#";"s656c";"Source of information: poster/billboard"
"1081";"#";"s656d";"Source of information: newspaper/magazine"
"1082";"#";"s656e";"Source of information: brochure"
"1083";"#";"s656f";"Source of information: health provider"
"1084";"#";"s656g";"Source of information: community health worker visit"
"1085";"#";"s656h";"Source of information: social networks/facebook"
"1086";"#";"s656i";"Source of information: SMS diffusion"
"1087";"#";"s656j";"Source of information: puppet theater"
"1088";"#";"s656k";"Source of information: Inter-Personal Communication (CIP)"
"1089";"#";"s656l";"Source of information: community meetings/speeches"
"1090";"#";"s656x";"Source of information: somewhere else"
"1091";"#";"s656z";"Source of information: don't know"
"1092";"#";"s657a";"Expose new ITNs to the air for 24 hours before use"
"1093";"#";"s657b";"Suspend ITNs, spread them out, put them under the mattress or mat"
"1094";"#";"s657c";"Wash ITNs with lump soap but not powder"
"1095";"#";"s657d";"Spread in the shade for drying"
"1096";"#";"s657e";"Mend in case of a tear or hole"
"1097";"#";"s658";"Ways to prevent malaria"
"1098";"#";"s659a";"Ways to prevent malaria: sleep under a mosquito net"
"1099";"#";"s659b";"Using to prevent malaria: sleep under a mosquito net impregnated with insecticide"
"1100";"#";"s659c";"Ways to prevent malaria: use mosquito repellents"
"1101";"#";"s659d";"Ways to prevent malaria: take preventive medication"
"1102";"#";"s659e";"Ways to prevent malaria: spray the house with insecticide"
"1103";"#";"s659f";"Ways to prevent malaria: cover standing water (puddles)"
"1104";"#";"s659g";"Ways to prevent malaria: keep the surroundings clean"
"1105";"#";"s659h";"Ways to prevent malaria: put mosquito nets on the windows"
"1106";"#";"s659x";"Ways to prevent malaria: other"
"1107";"#";"s659z";"Ways to prevent malaria: don't know"
"1108";"#";"s660";"People only get malaria during the rainy season"
"1109";"#";"s661";"When a child has a fever, almost always fear it is malaria"
"1110";"#";"s662";"Do not fear malaria because it can be treated easily"
"1111";"#";"s663";"Only frail children can die from malaria"
"1112";"#";"s664";"Can sleep entire night under a mosquito net if are a lot of mosquitoes"
"1113";"#";"s665";"Can sleep entire night under a mosquito net if only few mosquitoes"
"1114";"#";"s665a";"Can sleep under a mosquito net when it's hot"
"1115";"#";"s666";"In case of fever, give medicine available at home"
"1116";"#";"s667";"Children are brought to a health care provider the same day or the day after the fever starts"
"1117";"#";"s668";"Those who have a mosquito net usually sleep under the mosquito net every night"
"1118";"#";"s815d";"Read about family planning on a poster panel"
"1119";"#";"s816a";"Last 6 months heard messages on FP: plan your birth"
"1120";"#";"s816b";"Last 6 months heard messages on PF: get more information"
"1121";"#";"s816c";"Last 6 months heard messages on PF: it is my life"
"1122";"#";"s904";"Partner's level of education"
"1123";"#";"s905";"Partner's highest grade/form/year at that level"
"1124";"#";"s1006";"Can get AIDS by kissing someone with AIDS virus"
"1125";"#";"idx94";"Index to Birth History"
"1126";"#";"s424a";"Reasons did not take SP/(Fansidar, Maloxine or others brands)"
"1127";"#";"s425";"Took SP/(Fansidar, Maloxine or others brands) during antenatal visit"
"1128";"#";"idx95";"Index to Birth History"
"1129";"#";"s504";"Has vaccination card"
"1130";"#";"s507";"Observation of vaccination card"
"1131";"#";"s526";"Monitor the child's growth"
"1132";"#";"s527";"Place to monitor  growth"
"1133";"#";"s528";"Receive advice on breastfeeding or on food"
"1134";"#";"s619a";"Blood taken from finger or heel for testing"
"1135";"#";"s1301";"Ever had blood pressure measured"
"1136";"#";"s1302";"Ever told has high blood pressure"
"1137";"#";"s1303";"Told in last 12 months has high blood pressure"
"1138";"#";"s1304";"Given medication for blood pressure"
"1139";"#";"s1305";"Currently taking medication to control blood pressure"
"1140";"#";"s1306";"Ever had blood sugar measured by a health professional"
"1141";"#";"s1307";"Ever told by health professional that has high blood sugar or diabetes"
"1142";"#";"s1308";"In last 12 months told by health professional that has high blood sugar or diabetes"
"1143";"#";"s1309";"Given medication by health professional to control blood sugar or diabetes"
"1144";"#";"s1310";"Taking medication to control diabetes or high blood sugar"
"1145";"#";"s1311";"Ever diagnosed with heart disease or a chronic heart problem by doctor or other health professional"
"1146";"#";"s1312";"Receiving treatment for heart disease"
"1147";"#";"s1313";"Ever diagnosed with lung disease by doctor or other health professional"
"1148";"#";"s1314";"Receiving treatment for lung disease"
"1149";"#";"s1315";"Ever diagnosed with cancer or tumor by doctor or other health professional"
"1150";"#";"s1316";"Receiving treatment for cancer or tumor"
"1151";"#";"s1317";"Ever diagnosed with depression by doctor or other health professional"
"1152";"#";"s1318";"Receiving treatment for depression"
"1153";"#";"s1319";"Ever diagnosed with arthritis by doctor or other health professional"
"1154";"#";"s1320";"Receiving treatment for arthritis"
"1155";"#";"s1321";"Ever diagnosed with other chronic disease by doctor or other health professional"
"1156";"#";"s1322";"Receiving treatment for other chronic disease"
"1157";"#";"s1323";"Heard of cervical cancer"
"1158";"#";"s1324";"Heard of test for cervical cancer"
"1159";"#";"s1326";"Tested for cervical cancer"
"1160";"#";"s1327";"Years since cervical cancer test last performed"
"1161";"#";"s1328";"Result of most recent cervical cancer test"
"1162";"#";"s1329";"Made follow up visit(s) as a result of cervical cancer test"
